pattern_type,threshold,time,num_of_patterns
closed,5.000000,10,1190
closed,6.000000,4,799
closed,7.000000,6084,579
closed,8.000000,1097,419
closed,9.000000,275,334
closed,10.000000,82,277
closed,11.000000,23,231
closed,12.000000,6,201
closed,13.000000,3,187
closed,14.000000,1,168
closed,15.000000,1,151
closed,16.000000,1,141
closed,17.000000,1,129
closed,18.000000,1,116
closed,19.000000,1,113
closed,20.000000,1,103
closed,21.000000,1,93
closed,22.000000,1,77
closed,23.000000,1,69
closed,24.000000,1,62
closed,25.000000,1,53
closed,26.000000,1,47
closed,27.000000,1,36
closed,28.000000,1,31
closed,29.000000,1,29
closed,30.000000,5,24
