pattern_type,threshold,time,num_of_patterns
closed,5.000000,462,4283
closed,6.000000,101,2615
closed,7.000000,28,1631
closed,8.000000,10,1087
closed,9.000000,6,812
closed,10.000000,3,603
closed,11.000000,3,481
closed,12.000000,3,365
closed,13.000000,2,298
closed,14.000000,2,244
closed,15.000000,2,194
maximal,5.000000,529,4283
maximal,6.000000,111,2615
maximal,7.000000,36,1631
maximal,8.000000,14,1087
maximal,9.000000,7,812
maximal,10.000000,4,603
maximal,11.000000,3,481
maximal,12.000000,3,365
maximal,13.000000,2,298
maximal,14.000000,2,244
maximal,15.000000,3,194
skyline,6.000000,47,2615
skyline,7.000000,23,1631
skyline,8.000000,12,1087
skyline,9.000000,7,812
skyline,10.000000,4,603
skyline,11.000000,3,481
skyline,12.000000,3,365
skyline,13.000000,2,298
skyline,14.000000,3,244
skyline,15.000000,6,194
