pattern_type,threshold,time,num_of_patterns
closed,5.000000,9575,4283
closed,6.000000,39,2615
closed,7.000000,14,1631
closed,8.000000,7,1087
closed,9.000000,4,812
closed,10.000000,3809,603
closed,11.000000,1033,481
closed,12.000000,181,365
closed,13.000000,56,298
closed,14.000000,22,244
closed,15.000000,6,194
closed,16.000000,3,162
closed,17.000000,3,149
closed,18.000000,2,119
closed,19.000000,2,90
closed,20.000000,1,75
closed,21.000000,2,57
closed,22.000000,2,53
closed,23.000000,2,45
closed,24.000000,2,40
closed,25.000000,1,35
closed,26.000000,2,30
closed,27.000000,2,28
closed,28.000000,1,25
closed,29.000000,2,21
closed,30.000000,2,21
