pattern_type,threshold,time,num_of_patterns
closed,22.000000,296,6491
closed,24.000000,148,5037
closed,24.000000,95,4103
closed,25.000000,50,3205
closed,26.000000,32,2799
closed,27.000000,20,2443
closed,28.000000,17,2209
closed,29.000000,14,1945
closed,30.000000,15,1787
maximal,22.000000,761,6491
maximal,23.000000,256,5037
maximal,24.000000,118,4103
maximal,25.000000,79,3205
maximal,26.000000,56,2799
maximal,27.000000,32,2443
maximal,28.000000,23,2209
maximal,29.000000,21,1945
maximal,30.000000,18,1787
skyline,22.000000,36,6491
skyline,23.000000,20,5037
skyline,24.000000,12,4103
skyline,25.000000,8,3205
skyline,26.000000,5,2799
skyline,27.000000,4,2443
skyline,28.000000,3,2209
skyline,29.000000,2,1945
skyline,30.000000,2,1787
