pattern_type,threshold,time,num_of_patterns
closed,22.000000,528,4765
closed,23.000000,235,3672
closed,24.000000,134,2900
closed,25.000000,64,2315
closed,26.000000,8,1720
closed,27.000000,4,1337
closed,28.000000,3,1064
closed,29.000000,1,792
closed,30.000000,1,626
maximal,22.000000,246,4765
maximal,23.000000,128,3672
maximal,24.000000,68,2900
maximal,25.000000,37,2315
maximal,26.000000,18,1720
maximal,27.000000,10,1337
maximal,28.000000,6,1064
maximal,29.000000,4,792
maximal,30.000000,2,626
skyline,22.000000,16,4765
skyline,23.000000,10,3672
skyline,24.000000,5,2900
skyline,25.000000,3,2315
skyline,26.000000,2,1720
skyline,27.000000,1,1337
skyline,28.000000,1,1064
skyline,29.000000,0,792
skyline,30.000000,1,626
