pattern_type,threshold,time,num_of_patterns
closed,5.000000,7,858
closed,6.000000,4,711
closed,7.000000,4,654
closed,8.000000,3,646
closed,9.000000,3,635
closed,10.000000,4,630
closed,11.000000,1,411
closed,12.000000,1,297
closed,13.000000,1,195
closed,14.000000,0,142
closed,15.000000,1,111
maximal,5.000000,9,858
maximal,6.000000,5,711
maximal,7.000000,4,654
maximal,8.000000,4,646
maximal,9.000000,4,635
maximal,10.000000,5,630
maximal,11.000000,1,411
maximal,12.000000,1,297
maximal,13.000000,1,195
maximal,14.000000,1,142
maximal,15.000000,0,111
skyline,5.000000,6,858
skyline,6.000000,4,711
skyline,7.000000,4,654
skyline,8.000000,3,646
skyline,9.000000,3,635
skyline,10.000000,4,630
skyline,11.000000,1,411
skyline,12.000000,1,297
skyline,13.000000,1,195
skyline,14.000000,1,142
skyline,15.000000,0,111
