pattern_type,threshold,time,num_of_patterns
closed,5.000000,25,1190
closed,6.000000,8,799
closed,7.000000,3,579
closed,8.000000,2,419
closed,9.000000,1,334
closed,10.000000,2,277
closed,11.000000,1,231
closed,12.000000,1,201
closed,13.000000,1,187
closed,14.000000,1,168
closed,15.000000,1,151
maximal,5.000000,29,1190
maximal,6.000000,9,799
maximal,7.000000,4,579
maximal,8.000000,3,419
maximal,9.000000,1,334
maximal,10.000000,1,277
maximal,11.000000,2,231
maximal,12.000000,1,201
maximal,13.000000,1,187
maximal,14.000000,1,168
maximal,15.000000,1,151
skyline,5.000000,14,1190
skyline,6.000000,5,799
skyline,7.000000,3,579
skyline,8.000000,3,419
skyline,9.000000,1,334
skyline,10.000000,2,277
skyline,11.000000,1,231
skyline,12.000000,1,201
skyline,13.000000,1,187
skyline,14.000000,1,168
skyline,15.000000,1,151
