pattern_type,threshold,time,num_of_patterns
closed,5.000000,2,122
closed,6.000000,3,66
closed,7.000000,2,43
closed,8.000000,2,24
closed,9.000000,3,16
closed,10.000000,2,12
closed,11.000000,3,10
closed,12.000000,2,7
closed,13.000000,2,6
closed,14.000000,2,4
closed,15.000000,3,4
maximal,5.000000,3,122
maximal,6.000000,4,66
maximal,7.000000,3,43
maximal,8.000000,3,24
maximal,9.000000,3,16
maximal,10.000000,3,12
maximal,11.000000,2,10
maximal,12.000000,2,7
maximal,13.000000,3,6
maximal,14.000000,2,4
maximal,15.000000,2,4
skyline,5.000000,3,122
skyline,6.000000,2,66
skyline,7.000000,3,43
skyline,8.000000,3,24
skyline,9.000000,4,16
skyline,10.000000,4,12
skyline,11.000000,3,10
skyline,12.000000,4,7
skyline,13.000000,2,6
skyline,14.000000,2,4
skyline,15.000000,2,4
