pattern_type,threshold,time,num_of_patterns
maximal,11.000000,2453,481
maximal,12.000000,494,365
maximal,13.000000,168,298
maximal,14.000000,63,244
maximal,15.000000,19,194
maximal,16.000000,7,162
maximal,17.000000,6,149
maximal,18.000000,3,119
maximal,19.000000,2,90
maximal,20.000000,2,75
maximal,21.000000,2,57
maximal,22.000000,1,53
maximal,23.000000,2,45
maximal,24.000000,2,40
maximal,25.000000,2,35
maximal,26.000000,1,30
maximal,27.000000,2,28
maximal,28.000000,2,25
maximal,29.000000,1,21
maximal,30.000000,7,21
